OBJECTID,Salygos,X_LKS,Y_LKS
1,Saulëta,580706.7488,6061110.749
2,Ið dalies debesuota,495946.9508,6084535.173
3,Saulëta,536981.5748,6008531.228
4,Ið dalies debesuota,498867.7981,5986304.264
5,Ið dalies debesuota,456272.191,6046608.567
6,Saulëta,600856.7665,6153042.928
7,Ið dalies debesuota,521684.5959,6177831.913
8,Debesuota,456891.631,6198772.172
9,Debesuota,419089.8516,6105241.292
10,Lietus,318206.6803,6203740.36
11,Lietus,310025.9614,6134343.595
12,Debesuota,396828.7279,6243191.939
13,Lietus,385100.3609,6152382.495
